"","ENTIDAD","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","VPH_RADIO","VPH_TV","VPH_PC","VPH_TELEF","VPH_CEL","VPH_INTER","TOTHOG","VPH_SINTIC","VPH_SINCINT","VIVTOT","Porcentaje_Internet","Porcentaje_Celular","Porcentaje_TV","Porcentaje_PC","Porcentaje_SinInternet_PC","Porcentaje_SinTic","Categorias"
"136",30,"Veracruz de Ignacio de la Llave",136,"Rafael Lucio",0,"Total del Municipio","1612","1917","397","503","1654","806","2112","63","1236",2682,30.0521998508576,61.6703952274422,71.4765100671141,14.8023862788963,46.0850111856823,2.3489932885906,"alto"
"137",30,"Veracruz de Ignacio de la Llave",137,"Los Reyes",0,"Total del Municipio","1002","1018","43","24","903","55","1638","235","1555",1950,2.82051282051282,46.3076923076923,52.2051282051282,2.2051282051282,79.7435897435898,12.0512820512821,"Muy bajo"
"138",30,"Veracruz de Ignacio de la Llave",138,"Río Blanco",0,"Total del Municipio","9229","11538","5022","5503","11013","6911","12339","129","4725",14216,48.614237478897,77.4690489589195,81.1620709060214,35.3263927968486,33.2371975239167,0.907428249859313,"alto"
"139",30,"Veracruz de Ignacio de la Llave",139,"Saltabarranca",0,"Total del Municipio","1092","1803","270","388","1616","541","2057","105","1458",2415,22.4016563146998,66.9151138716356,74.6583850931677,11.1801242236025,60.3726708074534,4.34782608695652,"medio"
"140",30,"Veracruz de Ignacio de la Llave",140,"San Andrés Tenejapan",0,"Total del Municipio","413","566","44","7","409","140","743","81","569",832,16.8269230769231,49.1586538461538,68.0288461538462,5.28846153846154,68.3894230769231,9.73557692307692,"bajo"
"141",30,"Veracruz de Ignacio de la Llave",141,"San Andrés Tuxtla",0,"Total del Municipio","30523","38643","6969","9117","34632","12214","44798","2031","30832",55560,21.983441324694,62.3326133909287,69.5518358531317,12.5431965442765,55.4931605471562,3.65550755939525,"medio"
"142",30,"Veracruz de Ignacio de la Llave",142,"San Juan Evangelista",0,"Total del Municipio","5273","7720","845","1772","7128","1625","9517","628","7585",11761,13.8168523084772,60.6070912337386,65.6406768131962,7.18476320040813,64.4928152367996,5.33968199982995,"bajo"
"143",30,"Veracruz de Ignacio de la Llave",143,"Santiago Tuxtla",0,"Total del Municipio","9786","14049","1607","2041","12456","2865","16706","1075","13288",20478,13.9906240843832,60.8262525637269,68.605332552007,7.84744603965231,64.8891493309894,5.24953608750855,"bajo"
"144",30,"Veracruz de Ignacio de la Llave",144,"Sayula de Alemán",0,"Total del Municipio","4318","6973","991","1281","6909","1697","8936","611","6817",10488,16.1803966437834,65.8752860411899,66.4855072463768,9.4488939740656,64.9980930587338,5.8257055682685,"bajo"
"145",30,"Veracruz de Ignacio de la Llave",145,"Soconusco",0,"Total del Municipio","2771","4086","1025","1013","4237","1440","5008","214","3302",5970,24.1206030150754,70.9715242881072,68.4422110552764,17.1691792294807,55.3098827470687,3.58458961474037,"medio"
